ID	Title	Categories	Tags	Permalink	Attachment Link	Content	Custom Fields
4	'flensed' announces two revolutionary projects, CheckPlayer and flXHR.	CheckPlayer,flXHR,flensed,	press,release,	http://www.flensed.com/fresh/2008/06/press-release/	Missing Attachment	<p><strong>CheckPlayer (a tool for easy Flash Player plugin detection, upgrades, and SWF embedding), and flXHR (pronounced flex-er, a tool for direct, client-side, cross-domain fl-AJAX communication) are two new foundation projects from the 'flensed' family.</strong></p><p>Austin, Texas  June 18, 2008 -- The <strong>flensed</strong> family announces <a href="http://checkplayer.flensed.com/">CheckPlayer</a> and <a href="http://flxhr.flensed.com/">flXHR</a> (pronounced flex-er), two revolutionary projects that redefine how websites can leverage and interact with SWF assets. CheckPlayer provides a powerful yet dead-simple interface for web authors to check the Flash Player plugin version, initiate inline auto-updating, and embed SWF assets at any time. flXHR is a drop-in replacement for the browser's native XMLHttpRequest (XHR) object, but with powerful new features like direct cross-domain communication support.</p><p><strong>flensed</strong> (<a href="http://www.flensed.com/">http://www.flensed.com</a>) is a free, open-source (MIT licensed) family of projects for harnessing the largely untapped power of Javascript+SWF(+HTML/CSS).  These projects are a re-thinking of how SWF's are used on web pages, bringing the power and usefulness back to Flash-on-the-web. Because Flash is so common now (<a href="http://www.adobe.com/products/player_census/flashplayer/" target="_blank">Adobe claims almost 99%</a>), <strong>flensed</strong> is positioned as <strong><em>the best</em></strong> way to solve many of the most challenging cross-browser problems in a totally consistent, predictable medium.</p><p><span style="font-size:130%">CheckPlayer</span> is a repackaging and extension of the well-known <a href="http://code.google.com/p/swfobject/" target="_blank">SWFObject (v2.1)</a> library, which means the web author gets both libraries -- the best of both worlds. It provides some revolutionary new features, and makes adding SWF's to a page almost effortless, compared to the old days of hand-coding &lt;embed&gt; and &lt;object&gt; tags. In addition, CheckPlayer provides an incredibly easy-to-use interface for checking the version of a browser's Flash Player plugin, and prompting the user to update it if the page requires a newer version.</p><p>Combined with the powerful functionality of SWFObject, CheckPlayer is a complete solution for embedding and interacting with SWF's on a web page. Any page already written to utilize SWFObject 2.0+ will integrate easily with CheckPlayer.</p><p><span style="font-size:130%">flXHR</span> is a powerful new approach to the frustrating cross-domain security restriction problem (Javascript is blocked from communicating with a server at a different domain than the page). Mash-ups, third-party application integration, and code re-use are just some of the many reasons why this type of behavior is so important to today's Web 2.0 pages. But until now, Javascript-only (or worse, server-proxy-based) solutions have had to jump through many ugly, insecure, inefficient hoops to make this happen.</p><p>flXHR changes all that. flXHR implements a compatible API to the native XMLHttpRequest (XHR) browser object, while adding a few helpful nuggets to the mix. Most importantly, flXHR uses an invisible SWF instance which makes use of Flash Player's robust cross-domain security model, to directly punch through this domain barrier, instead of working around the barrier in sub-optimal ways like the current solutions do. The result: flXHR is literally a drop-in replacement for XHR, with more <strong><em>power</em></strong>, <strong><em>security</em></strong>, <strong><em>consistency</em></strong>, and <strong><em>ease-of-use</em></strong> than  XHR itself ever had. Because the API is fully compatible with XHR, flXHR can easily be adapted to work with many of the most popular Javascript frameworks, including Dojo, Prototype, and YUI to name a few.</p><p>CheckPlayer and flXHR were jointly developed for open-source release and for a commercial application for software company <a href="http://www.pointserve.com/" target="_blank">Pointserve, Inc.</a>, located in Austin, TX. Pointserve is using the <strong>flensed</strong> projects to strengthen how their application interacts with partner applications and with the end-user. "flXHR has really improved the way I write cross-domain scripting code. It removes all the headaches from ugly workarounds -- it's so powerful and easy to use." (Brian Ruhl, Lead UI Developer, Pointserve, Inc.) </p><p>CheckPlayer and flXHR are battle-tested and ready, but now promise to get even better as the open-source web community gets ahold of them. <strong>flensed</strong> is blazing a new path for how SWF's can be used not just to bring bells and whistles to a page, but to truly integrate with and strengthen its architecture and its scope.</p><p>About <strong>flensed</strong>:<br /><strong>flensed</strong> is an open-source offering from Getify Solutions, Inc., a web development company based in Austin, TX. Kyle Simpson is the primary author and developer.</p>	
5	flensed gets some press!	flXHR,flensed,		http://www.flensed.com/fresh/2008/06/flensed-gets-some-press/	Missing Attachment	<p><a href="http://www.flashgamer.com/" target="_blank">Jens Brynildsen</a> writes for a fabulous site called <a href="http://www.flashmagazine.com/" target="_blank">FlashMagazine.com</a>.  He was kind enough to do <a href="http://www.flashmagazine.com/News/detail/flxhr_and_flensed_tools/" target="_blank">this great article</a> about flensed and specifically about the flXHR project. Please check out his site, because there's tons of great information there.</p><p><a href="http://www.flashmagazine.com/news/detail/flash_disambiguation/" target="_blank">Another great article</a>  on FlashMagazine.com was written by <a href="http://www.scottydawg.com/" target="_blank">Scott Delamater</a>. I found it really direct and informative, and it helps to clear up some of the confusion and common misconceptions about Flash platform technology. I encourage everyone to read this article, and to link to it and spread it around, as it will only help all of us Flash afficianados to convince the non-Flash community of its wonderful benefits!</p>	
6	Ajaxian.com highlights flXHR	flXHR,	Ajax flXHR XHR,	http://www.flensed.com/fresh/2008/06/ajaxiancom-highlights-flxhr/	Missing Attachment	<a href="http://www.ajaxian.com/" target="_blank">Ajaxian.com</a> is an incredibly well read site with tons of amazing articles about anything Javascript and AJAX related. I've read the site for a long time now.  <a href="http://ajaxian.com/about-us/#DionAlmaer" target="_blank">Dion Almaer</a> just put up a great brief <a href="http://ajaxian.com/archives/flxhr-flash-based-xhr-from-flensed" target="_blank">article highlighting the flXHR project</a>! Go check it out, and while you're there, check out all the other great content that Ajaxian.com has to offer.	
7	new flXHR demos posted	flXHR,	xhr jquery dwr flxhr,	http://www.flensed.com/fresh/2008/06/new-flxhr-demos-posted/	Missing Attachment	I've put up two new demos... 1. <a href="http://flxhr.flensed.com/demo.php#demo11" target="_blank">Demo #11 (a, b, and c)</a> is a demo showing integration with jQuery... it uses a <a href="http://dev.jquery.com/attachment/ticket/3087/ajax_transport.diff" target="_blank">patched</a> version of <a href="http://flxhr.flensed.com/code/build/thirdparty/jquery-1.2.6-patched.js">jQuery 1.2.6</a> which I was able to convince the jQuery dev team to make.    Hopefully the next release of jQuery will include the patch so everyone can share in the joy that is flXHR.  It operates under the same premise as the other framework integration demos.2. <a href="http://flxhr.flensed.com/demo.php#demo12" target="_blank">Demo #12</a> is an interesting demo... it shows actually a more brute force way of adapting flXHR into a page.  It literally overwrites the native XHR object (and for IE, the ActiveXObject instantiator) and forces a flXHR instance to be returned instead.  This is useful for any scenario where there's no way to adapt a set of code to use a different XHR, but you still want to use flXHR.  For instance, the DWR framework has a similar restriction to what jQuery (without the patch) has, which is that it exposes no way to override the transport creation.	
8	CheckPlayer gets an update	CheckPlayer,	CheckPlayer,SWF,	http://www.flensed.com/fresh/2008/07/checkplayer-gets-an-update/	Missing Attachment	<p>CheckPlayer v0.6-alpha6 <del datetime="2008-07-02T23:06:30+00:00">v0.6-alpha5 </del><del datetime="2008-07-02T04:55:40+00:00">v0.6-alpha4</del> <del datetime="2008-07-02T04:55:40+00:00">v0.6-alpha3</del> has been released, which fixes all the known bugs <del datetime="2008-07-02T23:06:06+00:00">*except for <a href="http://checkplayer.flensed.com/discuss/viewtopic.php?f=9&t=24">one new one</a>, related to plugin updating in FF3*</del>, and adds a couple of minor new features.</p><ol><li>The "flensed_base_path" parameter now no longer needs to be specified, as it is auto-detected from the loading of the script itself. However, you can still use it, and may need to if it's being used in a strange environment like inside a CMS with weird path issues or whatever.</li><li>DoSWF() now supports an extension to the "targetElem" (formerlly labeled "replaceElemIdStr") parameter, which allows an author more control over how the SWF is added to the DOM.  The default "replace" behavior (as SWFObject's embedSWF() does) is maintained. However, an object can alternatively be passed for this parameter, with a named key property of either "replaceId" (same behavior) or "appendToId", which mimics more the SWFObject 1.5 behavior, which is that it will append the SWF as a child of the targetElem. Also, a value of null or false can be passed for this parameter, which simply adds the SWF to the end of the BODY (essentially the same as passing appendToId:bodyId). The goal is to give the author more flexibility in SWF authoring. <strong>Note:</strong> Existing code will work the same as before and doesn't need to be changed.</li><li>Numerous minor bug fixes (and regression bugs) were addressed in this release. This should be the most stable CheckPlayer release so far.</li></ol><p>I strongly encourage everyone to upgrade to this new release of CheckPlayer for optimum performance.</p>	
9	flXHR spreads slowly but surely!	flXHR,	flXHR,	http://www.flensed.com/fresh/2008/07/flxhr-spreads-slowly-but-surely/	Missing Attachment	<p>Found another <a href="http://lhorie.blogspot.com/2008/06/flxhr-flash-based-ajax.html" target="_blank">couple of sites</a> that <a href="http://onthetech.com/2008/06/25/flxhr-project/" target="_blank">mention short blurbs about flXHR</a>. Also, SWIK picked up on flXHR through del.icio.us association with <a href="http://swik.net/SWF+Ajax" target="_blank">AJAX, SWF, and Opensource</a>. The word is spreading, slowly but surely!</p>	
10	jQuery and flXHR… what’s next?	flXHR,	flXHR jQuery,	http://www.flensed.com/fresh/2008/07/jquery-thinks-flxhr-is-irrelevant/	Missing Attachment	<p><strong>Update:</strong> Upon further discussion with some jQuery devs, I've decided my hard stance was over-reactionary and that further discussion with them is warranted and appropriate. Please take the rest of this post and comments with a grain of salt, and my apologies for any ill-will it may have caused. For my part, I will be exploring (and assisting them in finding) ways that jQuery can be improved which satisfy all involved (including hopefully to the benefit of flXHR and our community).</p><p>I learned some saddening news just now, related to close-mindedness on the part of the jQuery devs.  I filed this ticket on behalf of our project and our community a week or two ago:</p><p><a href="http://dev.jquery.com/ticket/3087" target="_blank">http://dev.jquery.com/ticket/3087</a></p><p>The problem is that jQuery's architecture makes it difficult (but not impossible, see <a href="http://flxhr.flensed.com/demo.php#demo12">http://flxhr.flensed.com/demo.php#demo12</a>) to adapt in a replacement for XHR.  Many of the other major frameworks provide a way to do this, meaning they recognize the need to play well with others.  At first, things seemed promising.  The fix turned out to be a really simple one, like 5 simple lines of code, and this patch was provided:</p><p><a href="http://dev.jquery.com/attachment/ticket/3087/ajax_transport.diff" target="_blank">http://dev.jquery.com/attachment/ticket/3087/ajax_transport.diff</a></p><p>I then followed up by asking if that patch would make it into a jQuery release.  As you can see by the final comments on that ticket 3087, the jQuery devs have decided that flXHR and its effort to provide an XHR replacement is too narrow and is irrelevant since it's only for "one user".    I know that's not the case, because I know there are hundreds of you out there using flXHR already, and I'm sure some of you are trying to make it work in a jQuery environment.  For what it's worth, until this debacle, jQuery was my library of choice.  This changes my whole opinion.  I guess they're so busy they just can't be bothered with 5 simple lines of code patch.</p><p>As I mention above, the good news is that there's still a workaround, though not as graceful as hoped, as illustrated with demo #12.  Basically, this is the catch-all example for how *any* page or set of code can be changed to use flXHR, without the existing code even knowing it, by simply using the dynamic nature of the Javascript language and overwriting the native XHR object with flXHR.  It's actually really quite simple, but it's a little more "heavy-handed" and brute-force in nature.  But there are some libraries and code where this will be the only choice (like jQuery!), so there ya go.</p><p>Anyway, I was hoping maybe to stir up some sentiment from anyone here reading this blog to perhaps feel like they could make a counter-statement on that closed ticket, just so jQuery devs know that it's indeed not just "one user" they so casually dismissed.  You have to have a jQuery dev account to comment, but it's easy to sign up here:  <a href="http://dev.jquery.com/register" target="_blank">http://dev.jquery.com/register</a></p><p>I'm sure this won't really make a difference in their mind.  <del datetime="2008-07-03T19:44:09+00:00">But on principle alone, I think their poor social skills are something that should at least be called out and kept to task.</del> [I would like to retract this previous statement, as it's come across as mean and that was not my intent.] And maybe it'll help them re-consider in the future when other projects are hoping to coordinate with their framework.</p>	
11	flXHR and CheckPlayer… updated	CheckPlayer,flXHR,flensed,	flensed flXHR CheckPlayer,	http://www.flensed.com/fresh/2008/07/flxhr-and-checkplayer-updated/	Missing Attachment	flXHR v0.5-alpha7 and CheckPlayer v0.6-alpha6 have been tested together and fully operate in all supported OS's and browsers. There were LOTS of problems introduced (mainly into flXHR) as a result of changes made to both which I failed to keep properly sync'd and tested, since the two are co-related.If you are using either project, please make sure you have updated to these newest versions to make sure that you are not operating with non-functioning code.FYI: flXHR v0.6 is coming soon, maybe by the end of the weekend. There are several new features which will be built around this new stable, tested base of the code, and leveraging the new CheckPlayer functionality.	
12	Some good news for Flash…	Flash,	Flash,	http://www.flensed.com/fresh/2008/07/some-good-news-for-flash/	Missing Attachment	<p>3 pieces of good news today regarding Flash:</p><ol><li>Flash v9 is up to 97% usage worldwide! And 9.0.115 (update3), which is only 6 months old, is already at 82%. We still need to get 9.0.124 (update4) up in numbers, because it has some huge security fixes that are very important. Hint: <strong>Use SWFObject or CheckPlayer</strong>, which have the inline auto-update features to help get more people updated with the latest Flash.  Read this <a href="http://blog.digitalbackcountry.com/?p=1483" target="_blank">Flash Player version penetration article</a> for more details.</li><li>Flash v10 beta 2 for Linux is finally catching up in performance! This is huge news for Linux users, and for web developers across the board, as we can finally target audiences in that segment with our Flash content and not have to worry so much about a poor experience they may have. Keep up the good work Adobe. And Gnash, better step up your game! :)  Here's a <a href="http://practical-tech.com/operating-system/linux/adobe-flash-10-on-linux-looking-good/" target="_blank">full review of Flash Player 10 beta 2 for Linux</a> that is very informative.</li><li><p>To me, perhaps the most exciting of all, is that Adobe is preparing to release a set of open-source tools that allow a C/C++ developer to cross-compile their projects (using LLVM) to target actionscript byte code which will run natively in Flash!  They already have working versions of Quake and other games done this way as proof. Yes, there are security concerns we need to address, with the full superset of those languages, before deploying that code to a buggy web browser (ah-hem, IE?), but this is a great start.</p><p>Silverlight's big claim to fame is the cross-compile with common intermediate runtime language across a bunch of .NET languages, as well as many other ports to languages such as Java, PHP, even Javascript!  I can only think that the future looks bright (I gotta wear shades!) for Flash to get up to par with them (and probably surpass) as other languages follow Adobe's lead, opening up Flash to a whole 'nother world of development talent! Here's a great <a href="http://news.zdnet.co.uk/software/0,1000000121,39445545,00.htm?r=5" target="_blank">article describing the C/C++ cross-compiling effort by Adobe</a>.</ol><p>Btw, thanks to <a href="http://www.flashmagazine.com/" target="_blank">FlashMagazine.com</a> for keeping us all up to date on these great progress steps for Flash!</p>	
13	flash (and silverlight)… is a re-think possible?	Flash,	Flash,	http://www.flensed.com/fresh/2008/07/flash-and-silverlight-is-a-re-think-possible/	Missing Attachment	The heart and soul of what flensed is about is re-thinking the way flash is used and leveraged on websites. There's (understandably) a good degree of resistance with the hip crowd who thinks its still so cool to yell "down with flash" whenver they get a chance.I predict those fools will be the ones begging for a job 5 years from now, because the rest of us, who see flash as a pratical tool with powerful potential (but admittedly a colored past), will be far down the road in making real and practical innovations on the web.  I "preach" a message of inclusion, meaning that all these different technologies have their place and it takes a mature and intelligent person to think technology-agnostically about the topic and use what's right for each part of a job, and not be afraid to re-think the status quo from time to time.This <a href="http://blogs.zdnet.com/carroll/?p=1855">ZDNet article on flash/silverlight</a> is one of several I've read recently which are starting to, ever so gracefully, crack open that egg and start seeing if anyone else will bite. I couldn't be more pleased that I'm not alone in the wild on this concept. Definitely give that article a read and comment over there if you agree.	
